Monthly mean sea levels with the average seasonal cycle removed.
The values are in meters relative to the most recent Mean Sea Level datum established by CO-OPS.
Column values are the Year; Month; Monthly Mean; Relative Sea Level Trend Line; Higher 95% Confidence Interval; and Lower 95% Confidence Interval.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1921,1,-0.094,-0.189,-0.180,-0.198,
1921,2,-0.131,-0.189,-0.180,-0.197,
1921,3,-0.219,-0.188,-0.180,-0.197,
1921,4,-0.185,-0.188,-0.179,-0.197,
1921,5,-0.118,-0.188,-0.179,-0.197,
1921,6,-0.160,-0.188,-0.179,-0.196,
1921,7,-0.164,-0.187,-0.179,-0.196,
1921,8,-0.222,-0.187,-0.178,-0.196,
1921,9,-0.186,-0.187,-0.178,-0.196,
1921,10,-0.209,-0.187,-0.178,-0.195,
1921,11,-0.145,-0.186,-0.178,-0.195,
1921,12,-0.168,-0.186,-0.178,-0.195,
1922,1,-0.253,-0.186,-0.177,-0.195,
1922,2,-0.222,-0.186,-0.177,-0.194,
1922,3,-0.192,-0.185,-0.177,-0.194,
1922,4,-0.188,-0.185,-0.177,-0.194,
1922,5,-0.206,-0.185,-0.176,-0.194,
1922,6,-0.191,-0.185,-0.176,-0.193,
1922,7,-0.171,-0.184,-0.176,-0.193,
1922,8,-0.174,-0.184,-0.176,-0.193,
1922,9,-0.183,-0.184,-0.175,-0.193,
1922,10,-0.182,-0.184,-0.175,-0.192,
1922,11,-0.167,-0.184,-0.175,-0.192,
1922,12,-0.189,-0.183,-0.175,-0.192,
1923,1,-0.137,-0.183,-0.175,-0.192,
1923,2,-0.189,-0.183,-0.174,-0.191,
1923,3,-0.210,-0.183,-0.174,-0.191,
1923,4,-0.194,-0.182,-0.174,-0.191,
1923,5,-0.206,-0.182,-0.174,-0.190,
1923,6,-0.181,-0.182,-0.173,-0.190,
1923,7,-0.219,-0.182,-0.173,-0.190,
1923,8,-0.232,-0.181,-0.173,-0.190,
1923,9,-0.244,-0.181,-0.173,-0.189,
1923,10,-0.218,-0.181,-0.172,-0.189,
1923,11,-0.154,-0.181,-0.172,-0.189,
1923,12,-0.186,-0.180,-0.172,-0.189,
1924,1,-0.256,-0.180,-0.172,-0.188,
1924,2,-0.143,-0.180,-0.171,-0.188,
1924,3,-0.063,-0.180,-0.171,-0.188,
1924,4,-0.167,-0.179,-0.171,-0.188,
1924,5,-0.154,-0.179,-0.171,-0.187,
1924,6,-0.194,-0.179,-0.171,-0.187,
